  0.00000E+00   0.10000E+03   0.50000E+01   0.00000E+00   0.00000E+00   0.00000E+00
  0.66667E-01   0.99865E+02   0.26747E+01   0.66402E+00   0.73175E+00   0.13333E+01
  0.13333E+00   0.99891E+02   0.14312E+01   0.78209E+00   0.11253E+01   0.22236E+01
  0.20000E+00   0.10000E+03   0.76594E+00   0.69270E+00   0.13045E+01   0.28139E+01
  0.26667E+00   0.10015E+03   0.40996E+00   0.54682E+00   0.13513E+01   0.32028E+01
  0.33333E+00   0.10032E+03   0.21944E+00   0.40576E+00   0.13198E+01   0.34580E+01
  0.40000E+00   0.10048E+03   0.11747E+00   0.28981E+00   0.12445E+01   0.36247E+01
  0.46667E+00   0.10063E+03   0.62884E-01   0.20177E+00   0.11475E+01   0.37333E+01
  0.53333E+00   0.10078E+03   0.33665E-01   0.13796E+00   0.10421E+01   0.38039E+01
  0.60000E+00   0.10091E+03   0.18024E-01   0.93083E-01   0.93669E+00   0.38496E+01
  0.66667E+00   0.10103E+03   0.96499E-02   0.62181E-01   0.83579E+00   0.38793E+01
  0.73333E+00   0.10113E+03   0.51667E-02   0.41220E-01   0.74190E+00   0.38984E+01
  0.80000E+00   0.10122E+03   0.27664E-02   0.27161E-01   0.65611E+00   0.39108E+01
  0.86667E+00   0.10131E+03   0.14813E-02   0.17812E-01   0.57867E+00   0.39188E+01
  0.93333E+00   0.10138E+03   0.79317E-03   0.11637E-01   0.50937E+00   0.39239E+01
  0.10000E+01   0.10144E+03   0.42472E-03   0.75790E-02   0.44772E+00   0.39272E+01
  0.10667E+01   0.10150E+03   0.22743E-03   0.49240E-02   0.39313E+00   0.39294E+01
  0.11333E+01   0.10155E+03   0.12179E-03   0.31926E-02   0.34493E+00   0.39307E+01
  0.12000E+01   0.10159E+03   0.65217E-04   0.20666E-02   0.30247E+00   0.39316E+01
  0.12667E+01   0.10163E+03   0.34924E-04   0.13359E-02   0.26513E+00   0.39322E+01
  0.13333E+01   0.10166E+03   0.18702E-04   0.86261E-03   0.23233E+00   0.39326E+01
  0.14000E+01   0.10169E+03   0.10015E-04   0.55648E-03   0.20354E+00   0.39328E+01
  0.14667E+01   0.10171E+03   0.53634E-05   0.35872E-03   0.17829E+00   0.39329E+01
  0.15333E+01   0.10174E+03   0.28723E-05   0.23109E-03   0.15615E+00   0.39330E+01
  0.16000E+01   0.10176E+03   0.15382E-05   0.14880E-03   0.13675E+00   0.39331E+01
  0.16667E+01   0.10177E+03   0.82375E-06   0.95765E-04   0.11976E+00   0.39331E+01
  0.17333E+01   0.10179E+03   0.44115E-06   0.61612E-04   0.10487E+00   0.39332E+01
  0.18000E+01   0.10180E+03   0.23625E-06   0.39628E-04   0.91825E-01   0.39332E+01
  0.18667E+01   0.10181E+03   0.12652E-06   0.25481E-04   0.80403E-01   0.39332E+01
  0.19333E+01   0.10182E+03   0.67758E-07   0.16382E-04   0.70401E-01   0.39332E+01
  0.20000E+01   0.10183E+03   0.36287E-07   0.10530E-04   0.61643E-01   0.39332E+01
  0.20667E+01   0.10184E+03   0.19434E-07   0.67672E-05   0.53973E-01   0.39332E+01
  0.21333E+01   0.10185E+03   0.10408E-07   0.43486E-05   0.47257E-01   0.39332E+01
  0.22000E+01   0.10185E+03   0.55738E-08   0.27942E-05   0.41377E-01   0.39332E+01
  0.22667E+01   0.10186E+03   0.29850E-08   0.17952E-05   0.36228E-01   0.39332E+01
  0.23333E+01   0.10186E+03   0.15986E-08   0.11533E-05   0.31720E-01   0.39332E+01
  0.24000E+01   0.10186E+03   0.85614E-09   0.74091E-06   0.27773E-01   0.39332E+01
  0.24667E+01   0.10187E+03   0.45851E-09   0.47594E-06   0.24317E-01   0.39332E+01
  0.25333E+01   0.10187E+03   0.24556E-09   0.30572E-06   0.21291E-01   0.39332E+01
  0.26000E+01   0.10187E+03   0.13151E-09   0.19637E-06   0.18641E-01   0.39332E+01
  0.26667E+01   0.10188E+03   0.70429E-10   0.12613E-06   0.16322E-01   0.39332E+01
  0.27333E+01   0.10188E+03   0.37719E-10   0.81015E-07   0.14290E-01   0.39332E+01
  0.28000E+01   0.10188E+03   0.20200E-10   0.52035E-07   0.12512E-01   0.39332E+01
  0.28667E+01   0.10188E+03   0.10818E-10   0.33420E-07   0.10955E-01   0.39332E+01
  0.29333E+01   0.10188E+03   0.57938E-11   0.21465E-07   0.95917E-02   0.39332E+01
  0.30000E+01   0.10188E+03   0.31029E-11   0.13786E-07   0.83981E-02   0.39332E+01
  0.30667E+01   0.10189E+03   0.16618E-11   0.88541E-08   0.73530E-02   0.39332E+01
  0.31333E+01   0.10189E+03   0.88997E-12   0.56865E-08   0.64380E-02   0.39332E+01
  0.32000E+01   0.10189E+03   0.47663E-12   0.36521E-08   0.56368E-02   0.39332E+01
  0.32667E+01   0.10189E+03   0.25526E-12   0.23455E-08   0.49353E-02   0.39332E+01
  0.33333E+01   0.10189E+03   0.13671E-12   0.15064E-08   0.43212E-02   0.39332E+01
  0.34000E+01   0.10189E+03   0.73213E-13   0.96745E-09   0.37834E-02   0.39332E+01
  0.34667E+01   0.10189E+03   0.39210E-13   0.62133E-09   0.33126E-02   0.39332E+01
  0.35333E+01   0.10189E+03   0.20999E-13   0.39904E-09   0.29004E-02   0.39332E+01
  0.36000E+01   0.10189E+03   0.11246E-13   0.25627E-09   0.25394E-02   0.39332E+01
  0.36667E+01   0.10189E+03   0.60229E-14   0.16459E-09   0.22234E-02   0.39332E+01
  0.37333E+01   0.10189E+03   0.32256E-14   0.10570E-09   0.19467E-02   0.39332E+01
